id,name,city,country,iata_code,icao_code,latitude,longitude,altitude,timezone_offset,dst,tz,type,source,language
85,Ллойдминстер аэропорт,Ллойдминстер,Канада,YLL,CYLL,53.309200286865234,-110.072998046875,2193,-7,A,America/Edmonton,airport,OurAirports,ru
86,Оповещение об аэропорте,Тревога,Канада,YLT,CYLT,82.51779937740001,-62.2806015015,100,-5,A,America/Toronto,airport,OurAirports,ru
87,Международный аэропорт Келоуна,Келоуна,Канада,YLW,CYLW,49.9561004639,-119.377998352,1421,-8,A,America/Vancouver,airport,OurAirports,ru
88,Аэропорт Мейо,Мейо,Канада,YMA,CYMA,63.61640167236328,-135.8679962158203,1653,-8,A,America/Vancouver,airport,OurAirports,ru
89,"Аэропорт Мус-Джо, вице-маршал авиации К. М. МакИвена",Лосиная Челюсть,Канада,YMJ,CYMJ,50.330299377441406,-105.55899810791016,1892,-6,N,America/Regina,airport,OurAirports,ru
90,Аэропорт Форт МакМюррей,Форт Макмюррей,Канада,YMM,CYMM,56.653301239,-111.222000122,1211,-7,A,America/Edmonton,airport,OurAirports,ru
91,Аэропорт Мусони,Мусони,Канада,YMO,CYMO,51.291099548339844,-80.60780334472656,30,-5,A,America/Toronto,airport,OurAirports,ru
92,Аэропорт Маниваки,Маниваки,Канада,YMW,CYMW,46.2728004456,-75.9906005859,656,-5,A,America/Toronto,airport,OurAirports,ru
93,Международный аэропорт Монреаля (Мирабель),Монреаль,Канада,YMX,CYMX,45.679501,-74.038696,270,-5,A,America/Toronto,airport,OurAirports,ru
94,Аэропорт Наташкуан,Наташкуан,Канада,YNA,CYNA,50.189998626708984,-61.78919982910156,39,-5,A,America/Toronto,airport,OurAirports,ru
95,Оттава / Аэропорт Гатино,Гатино,Канада,YND,CYND,45.521701812699995,-75.5635986328,211,-5,A,America/Toronto,airport,OurAirports,ru
96,Аэропорт Матагами,Матагами,Канада,YNM,CYNM,49.76169967651367,-77.80280303955078,918,-5,A,America/Toronto,airport,OurAirports,ru
97,Аэропорт Олд Кроу,Старая Ворона,Канада,YOC,CYOC,67.57060241699219,-139.83900451660156,824,-8,A,America/Vancouver,airport,OurAirports,ru
98,CFB Колд Лейк,Холодное озеро,Канада,YOD,CYOD,54.404998779296875,-110.27899932861328,1775,-7,A,America/Edmonton,airport,OurAirports,ru
99,Аэропорт высокого уровня,Высокий уровень,Канада,YOJ,CYOJ,58.62139892578125,-117.16500091552734,1110,-7,A,America/Edmonton,airport,OurAirports,ru
100,Международный аэропорт Оттавы Макдональд-Картье,Оттава,Канада,YOW,CYOW,45.3224983215332,-75.66919708251953,374,-5,A,America/Toronto,airport,OurAirports,ru
101,Принц Альберт Гласс Филд,Принц Альберт,Канада,YPA,CYPA,53.214199066199996,-105.672996521,1405,-6,N,America/Regina,airport,OurAirports,ru
102,Аэропорт Пис-Ривер,Река Мира,Канада,YPE,CYPE,56.226898,-117.446999,1873,-7,A,America/Edmonton,airport,OurAirports,ru
103,Аэропорт Саутпорт,Портидж-ла-Прери,Канада,YPG,CYPG,49.903099,-98.273817,885,-6,A,America/Winnipeg,airport,OurAirports,ru
104,Аэропорт Питт Медоуз,Питт Медоуз,Канада,\N,CYPK,49.21609878540039,-122.70999908447266,11,-8,A,America/Vancouver,airport,OurAirports,ru
105,Пикл Лейк аэропорт,Озеро Пикл,Канада,YPL,CYPL,51.4463996887207,-90.21420288085938,1267,-5,A,America/Coral_Harbour,airport,OurAirports,ru
106,Порт-Меньер: аэропорт,Порт-Меньер,Канада,YPN,CYPN,49.83639907836914,-64.2885971069336,167,-5,A,America/Toronto,airport,OurAirports,ru
107,Питерборо аэропорт,Питерборо,Канада,YPQ,CYPQ,44.22999954223633,-78.36329650878906,628,-5,A,America/Toronto,airport,OurAirports,ru
108,Принс Руперт аэропорт,Принц Пуперт,Канада,YPR,CYPR,54.286098480199996,-130.445007324,116,-8,A,America/Vancouver,airport,OurAirports,ru
109,Аэропорт Форт Чипевян,Форт Чипевян,Канада,YPY,CYPY,58.7672004699707,-111.11699676513672,761,-7,A,America/Edmonton,airport,OurAirports,ru
110,Аэропорт Мускока,Мускока,Канада,YQA,CYQA,44.974700927734375,-79.30329895019531,925,-5,A,America/Toronto,airport,OurAirports,ru
111,Международный аэропорт Квебека имени Жана Лесажа,Квебек,Канада,YQB,CYQB,46.7911,-71.393303,244,-5,A,America/Toronto,airport,OurAirports,ru
112,Региональный аэропорт Ред-Дир,Ред Дир Индастриал,Канада,YQF,CYQF,52.18220138549805,-113.89399719238281,2968,-7,A,America/Edmonton,airport,OurAirports,ru
113,Виндзорский аэропорт,Виндзор,Канада,YQG,CYQG,42.27560043334961,-82.95559692382812,622,-5,A,America/Toronto,airport,OurAirports,ru
114,Аэропорт Уотсон Лейк,Уотсон Лейк,Канада,YQH,CYQH,60.11640167236328,-128.82200622558594,2255,-8,A,America/Vancouver,airport,OurAirports,ru
115,Кенора аэропорт,Кенора,Канада,YQK,CYQK,49.788299560546875,-94.36309814453125,1332,-6,A,America/Winnipeg,airport,OurAirports,ru
116,Аэропорт округа Летбридж,Летбридж,Канада,YQL,CYQL,49.6302986145,-112.800003052,3048,-7,A,America/Edmonton,airport,OurAirports,ru
117,Международный аэропорт Большого Монктона,Монктон,Канада,YQM,CYQM,46.11220169067383,-64.67859649658203,232,-4,A,America/Halifax,airport,OurAirports,ru
119,Комокс аэропорт,Комокс,Канада,YQQ,CYQQ,49.71080017089844,-124.88700103759766,84,-8,A,America/Vancouver,airport,OurAirports,ru
120,Международный аэропорт Реджайна,Регина,Канада,YQR,CYQR,50.43190002441406,-104.66600036621094,1894,-6,N,America/Regina,airport,OurAirports,ru
121,Аэропорт Тандер-Бей,Тандер-Бей,Канада,YQT,CYQT,48.37189865112305,-89.32389831542969,653,-5,A,America/Toronto,airport,OurAirports,ru
122,Аэропорт Гранд-Прейри,Гранд-Прери,Канада,YQU,CYQU,55.1796989441,-118.885002136,2195,-7,A,America/Edmonton,airport,OurAirports,ru
123,Муниципальный аэропорт Йорктона,Йорктон,Канада,YQV,CYQV,51.26470184326172,-102.46199798583984,1635,-6,N,America/Regina,airport,OurAirports,ru
124,Аэропорт Норт Баттлфорд,Норт-Бэтлфорд,Канада,YQW,CYQW,52.76919937133789,-108.24400329589844,1799,-6,N,America/Regina,airport,OurAirports,ru
125,Международный аэропорт Гандер,Гандер,Канада,YQX,CYQX,48.9369010925293,-54.56809997558594,496,-3.5,A,America/St_Johns,airport,OurAirports,ru
126,Сидней / Дж.А. Аэропорт Дуглас МакКарди,Сидней,Канада,YQY,CYQY,46.1614,-60.047798,203,-4,A,America/Halifax,airport,OurAirports,ru
127,Кенель аэропорт,Кенель,Канада,YQZ,CYQZ,53.026100158691406,-122.51000213623047,1789,-8,A,America/Vancouver,airport,OurAirports,ru
128,Аэропорт Резолют Бэй,Решительный,Канада,YRB,CYRB,74.7169036865,-94.9693984985,215,-6,A,America/Winnipeg,airport,OurAirports,ru
129,Аэропорт Ривьер-дю-Лу,Ривьер-дю-Лу,Канада,YRI,CYRI,47.764400482177734,-69.58470153808594,427,-5,A,America/Toronto,airport,OurAirports,ru
130,Роберваль аэропорт,Роберваль,Канада,YRJ,CYRJ,48.52000045776367,-72.2656021118164,586,-5,A,America/Toronto,airport,OurAirports,ru
131,Аэропорт Роки Маунтин Хаус,Дом Роки Маунтин,Канада,YRM,CYRM,52.4296989441,-114.903999329,3244,-7,A,America/Edmonton,airport,OurAirports,ru
132,Рэнкин Инлет: аэропорт,Ранкин-Инлет,Канада,YRT,CYRT,62.8114013672,-92.1157989502,94,-6,A,America/Winnipeg,airport,OurAirports,ru
133,Садбери аэропорт,Садбери,Канада,YSB,CYSB,46.625,-80.79889678955078,1141,-5,A,America/Toronto,airport,OurAirports,ru
134,Шербрук аэропорт,Шербрук,Канада,YSC,CYSC,45.4385986328125,-71.69139862060547,792,-5,A,America/Toronto,airport,OurAirports,ru
135,Сент-Джон аэропорт,Сент-Джон,Канада,YSJ,CYSJ,45.31610107421875,-65.89029693603516,357,-4,A,America/Halifax,airport,OurAirports,ru
136,Аэропорт Форт Смит,Форт Смит,Канада,YSM,CYSM,60.020301818847656,-111.96199798583984,671,-7,A,America/Edmonton,airport,OurAirports,ru
137,Нанисивик аэропорт,Нанисивик,Канада,YSR,CYSR,72.982201,-84.613602,2106,-5,A,America/Toronto,airport,OurAirports,ru
138,Саммерсайд аэропорт,Саммерсайд,Канада,YSU,CYSU,46.44060134887695,-63.83359909057617,56,-4,A,America/Halifax,airport,OurAirports,ru
139,Сакс-Харбор (Дэвид Насогалуак-младший Саарюак) аэропорт,Сакс-Харбор,Канада,YSY,CYSY,71.9938964844,-125.242996216,282,-7,A,America/Edmonton,airport,OurAirports,ru
140,Кейп Дорсет: аэропорт,Кейп Дорсет,Канада,YTE,CYTE,64.2300033569,-76.5267028809,164,-5,A,America/Toronto,airport,OurAirports,ru
141,Томпсон аэропорт,Томпсон,Канада,YTH,CYTH,55.80110168457031,-97.86419677734375,729,-6,A,America/Winnipeg,airport,OurAirports,ru
142,CFB Трентон,Трентон,Канада,YTR,CYTR,44.118900299072266,-77.5280990600586,283,-5,A,America/Toronto,airport,OurAirports,ru
143,Тимминс/Виктор М. Пауэр,Тимминс,Канада,YTS,CYTS,48.569698333699996,-81.376701355,967,-5,A,America/Toronto,airport,OurAirports,ru
144,Билли Бишоп Торонто Центр города Аэропорт,Торонто,Канада,YTZ,CYTZ,43.627499,-79.396202,252,-5,A,America/Toronto,airport,OurAirports,ru
145,Туктояктук аэропорт,Туктояктук,Канада,YUB,CYUB,69.43329620361328,-133.0260009765625,15,-7,A,America/Edmonton,airport,OurAirports,ru
146,Монреаль / Международный аэропорт Пьера Эллиота Трюдо,Монреаль,Канада,YUL,CYUL,45.4706001282,-73.7407989502,118,-5,A,America/Toronto,airport,OurAirports,ru
147,Аэропорт Репалс Бэй,Репалс Бэй,Канада,YUT,CYUT,66.5214004517,-86.22470092770001,80,-6,A,America/Winnipeg,airport,OurAirports,ru
148,Аэропорт Холл Бич,Холл Бич,Канада,YUX,CYUX,68.77610015869999,-81.2425,30,-5,A,America/Toronto,airport,OurAirports,ru
149,Аэропорт Руэн Норанда,Руэн,Канада,YUY,CYUY,48.20610046386719,-78.83560180664062,988,-5,A,America/Toronto,airport,OurAirports,ru
150,Аэропорт Ла Ронж,Ла Ронж,Канада,YVC,CYVC,55.151401519800004,-105.262001038,1242,-6,N,America/Regina,airport,OurAirports,ru
151,Аэропорт Вермилион,Вермиллион,Канада,YVG,CYVG,53.355800628699996,-110.823997498,2025,-7,A,America/Edmonton,airport,OurAirports,ru
152,Аэропорт Кикиктарджуак,Остров Бротон,Канада,YVM,CYVM,67.5457992554,-64.03140258789999,21,-5,A,America/Toronto,airport,OurAirports,ru
153,Аэропорт Валь-д'Ор,Валь Дор,Канада,YVO,CYVO,48.0532989502,-77.7827987671,1107,-5,A,America/Toronto,airport,OurAirports,ru
154,Кууджуак аэропорт,Куджуак,Канада,YVP,CYVP,58.096099853515625,-68.4269027709961,129,-5,A,America/Toronto,airport,OurAirports,ru
155,Норман Уэллс: аэропорт,Норман Уэллс,Канада,YVQ,CYVQ,65.28160095214844,-126.7979965209961,238,-7,A,America/Edmonton,airport,OurAirports,ru
156,Международный аэропорт Ванкувера,Ванкувер,Канада,YVR,CYVR,49.193901062,-123.183998108,14,-8,A,America/Vancouver,airport,OurAirports,ru
157,Аэропорт Буффало Нарроуз,Баффало Нэрроуз,Канада,YVT,CYVT,55.8418998718,-108.417999268,1423,-6,N,America/Regina,airport,OurAirports,ru
158,Аэропорт Виартон,Виартон,Канада,YVV,CYVV,44.7458,-81.107201,729,-5,A,America/Toronto,airport,OurAirports,ru
159,Аэропорт Петавава,Петавава,Канада,YWA,CYWA,45.95220184326172,-77.31919860839844,427,-5,A,America/Toronto,airport,OurAirports,ru
160,Виннипег / Международный аэропорт Джеймс Армстронг Ричардсон,Виннипег,Канада,YWG,CYWG,49.909999847399995,-97.2398986816,783,-6,A,America/Winnipeg,airport,OurAirports,ru
161,Аэропорт Вабуш,Вабуш,Канада,YWK,CYWK,52.92190170288086,-66.8644027709961,1808,-4,A,America/Halifax,airport,OurAirports,ru
162,Уильямс Лейк аэропорт,Уильямс Лейк,Канада,YWL,CYWL,52.1831016541,-122.054000854,3085,-8,A,America/Vancouver,airport,OurAirports,ru
163,Ригли аэропорт,Ригли,Канада,YWY,CYWY,63.20940017700195,-123.43699645996094,489,-7,A,America/Edmonton,airport,OurAirports,ru
164,Крэнбрук/Международный аэропорт Канадские Скалистые горы,Крэнбрук,Канада,YXC,CYXC,49.610801696777,-115.78199768066,3082,-7,A,America/Edmonton,airport,OurAirports,ru
165,"Центр Эдмонтона (Блатчфорд Филд), аэропорт",Эдмонтон,Канада,YXD,CYXD,53.5724983215,-113.521003723,2202,-7,A,America/Edmonton,airport,OurAirports,ru
166,Международный аэропорт Саскатун имени Джона Дж. Дифенбейкера,Саскатун,Канада,YXE,CYXE,52.170799255371094,-106.69999694824219,1653,-6,N,America/Regina,airport,OurAirports,ru
167,Аэропорт Медисин-Хат,Медицинская шляпа,Канада,YXH,CYXH,50.01890182495117,-110.72100067138672,2352,-7,A,America/Edmonton,airport,OurAirports,ru
168,Аэропорт Форт Сент-Джон,Форт Сент-Джон,Канада,YXJ,CYXJ,56.23809814453125,-120.73999786376953,2280,-7,A,America/Dawson_Creek,airport,OurAirports,ru
169,Аэропорт Су-Лукаут,Смотровая площадка Сиу,Канада,YXL,CYXL,50.11389923095703,-91.9052963256836,1258,-6,A,America/Winnipeg,airport,OurAirports,ru
170,Аэропорт Пангниртунг,Пангниртунг,Канада,YXP,CYXP,66.1449966431,-65.71360015869999,75,-5,A,America/Toronto,airport,OurAirports,ru
171,Эрлтон (Региональный Тимискаминг) аэропорт,Эрлтон,Канада,YXR,CYXR,47.697400654599996,-79.8473453522,800,-5,A,America/Toronto,airport,OurAirports,ru
172,Аэропорт Принс-Джордж,Принц Джордж,Канада,YXS,CYXS,53.8894004822,-122.679000854,2267,-8,A,America/Vancouver,airport,OurAirports,ru
